Nom;Artiste 1;Artiste 2;Nombre de vues (en millions);Date publication;Origine;Sexe de l’artiste 1;Âge de l’artiste;Genre;Label;Parent;Langue;Durée
El Perdon;Nicky Jam;Enrique Iglesias;1085,9;23/03/2015;USA;Masculin;36;Reggaeton;Sony Music Latin;Sony Music Entertainment;Espagnol;03:27
Andas en mi cabeza;Chino & Nacho;Daddy Yankee;1078,4;20/04/2016;Venezuela;Masculin;40;Reggaeton;Machete Music;Universal Music Group;Espagnol;04:07
El Perdedor;Maluma;;1076,2;22/04/2016;Colombie;Masculin;23;Reggaeton;Sony Music Latin;Sony Music Entertainment;Espagnol;03:27
Problem;Ariana Grande;Iggy Azalea;1069,2;30/05/2014;USA;Féminin;24;Dance;Republic Records;Universal Music Group;Anglais;03:13
Firework;Katy Perry;;1064,6;28/10/2010;USA;Féminin;33;Dance;Capitol Records;Universal Music Group;Anglais;03:46
La Bicicleta;Shakira;Carlos Vives;1058,8;08/07/2016;Colombie;Féminin;40;Reggaeton;Sony Music Latin;Sony Music Entertainment;Espagnol;03:47
Bang Bang;Jessie J;Ariana Grande;1043;25/08/2014;USA;Féminin;29;Pop;Republic Records;Universal Music Group;Anglais;03:19
That’s what I like;Bruno Mars;;1042,8;01/03/2017;USA;Masculin;32;R&B;Atlantic Records;Warner Music Group;Anglais;03:26
Last Friday Night;Katy Perry;;1032,8;12/06/2011;USA;Féminin;33;Dance;Capitol Records;Universal Music Group;Anglais;03:50
Not Afraid;Eminem;;1026,2;04/06/2010;USA;Masculin;45;Hip-Hop;Interscope Records;Universal Music Group;Anglais;04:10
Call Me Maybe;Carly Rae Jepsen;;1010,2;01/03/2012;Canada;Féminin;32;Pop;Interscope Records;Universal Music Group;Anglais;03:13
Just the way you are;Bruno Mars;;1008,7;08/09/2010;USA;Masculin;32;R&B;Elektra Records;Warner Music Group;Anglais;03:41
La Gozadera;Gente de Zona;Marc Anthony;1007,4;05/06/2015;Cuba;Masculin;49;Reggaeton;Sony Music Latin;Sony Music Entertainment;Espagnol;03:23
La Mordidita;Ricky Martin;Yotuel;1005,1;12/06/2015;Porto Rico;Masculin;46;Reggaeton;Sony Music Latin;Sony Music Entertainment;Espagnol;03:31
Happy;Pharrell Williams;;988,1;21/11/2013;USA;Masculin;44;Soul;Columbia Record;Universal Music Group;Anglais;03:53
Where Are u now;Skrillex;Justin Bieber;985,1;29/06/2015;USA;Masculin;29;EDM;Atlantic Records;Warner Music Group;Anglais;04:10
Timber;Pitbull;Kesha;984,9;25/11/2013;USA;Masculin;36;EDM;Polo Grounds Music;Sony Music Entertainment;Anglais;03:24
Ahora Dice;Chris Jeday;Balvin;984,1;19/03/2017;Porto Rico;Masculin;28;Trap;Universal Music Latin Entertainment;Universal Music Group;Espagnol;04:30
Someone Like You;Adele;;972,4;29/09/2011;UK;Féminin;29;Soul;XL Recordings;Indépendant;Anglais;04:45
